Week,Gangbuk-gu,Gwangjin-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Mapo-gu,Seodaemun-gu,Seongdong-gu,Seongbuk-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu,Gangnam-gu,Gangdong-gu,Gangseo-gu,Gwanak-gu,Guro-gu,Geumcheon-gu,Dongjak-gu,Seocho-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu
4/25,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.04 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.05 ,-0.04 ,-0.01 ,-0.07 ,-0.02 ,0.00 ,0.02 ,-0.01 ,-0.06 ,-0.11 ,-0.11 
5/2,0.00 ,0.00 ,0.00 ,0.03 ,0.00 ,0.02 ,0.00 ,0.02 ,-0.01 ,-0.01 ,-0.05 ,0.06 ,0.00 ,0.00 ,-0.04 ,-0.09 ,-0.02 ,0.00 ,0.03 ,-0.04 ,0.00 ,0.00 ,-0.02 ,-0.02 ,-0.01 
5/9,-0.01 ,0.00 ,-0.04 ,0.01 ,-0.05 ,0.00 ,0.00 ,-0.01 ,0.03 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.02 ,-0.06 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,-0.01 ,-0.06 ,-0.02 ,-0.02 
5/16,0.00 ,0.04 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,-0.01 ,-0.08 ,-0.07 ,0.00 ,0.01 ,-0.05 ,-0.11 ,-0.04 ,0.00 ,-0.01 ,-0.04 ,-0.04 ,-0.02 ,-0.02 ,-0.05 ,0.00 
5/23,0.00 ,0.03 ,-0.02 ,-0.01 ,-0.01 ,-0.09 ,0.00 ,0.00 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,-0.02 ,-0.06 ,-0.14 ,-0.14 ,0.00 ,-0.02 ,-0.22 ,0.00 ,-0.03 ,0.00 ,-0.04 ,0.00 
5/30,-0.04 ,-0.01 ,-0.04 ,0.00 ,-0.06 ,0.00 ,-0.03 ,0.00 ,0.00 ,-0.02 ,-0.03 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.12 ,-0.04 ,0.03 ,0.01 ,-0.01 ,-0.07 ,-0.03 ,-0.04 ,-0.03 ,0.01 
6/6,0.00 ,0.00 ,-0.04 ,-0.03 ,-0.02 ,-0.20 ,-0.05 ,-0.01 ,0.00 ,-0.02 ,-0.02 ,0.04 ,0.00 ,-0.01 ,-0.03 ,-0.17 ,-0.01 ,0.02 ,-0.03 ,0.05 ,0.01 ,-0.01 ,-0.03 ,-0.01 ,-0.04 
6/13,-0.02 ,-0.04 ,-0.03 ,0.00 ,0.03 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,-0.06 ,-0.08 ,-0.04 ,0.01 ,0.00 ,0.00 ,0.03 ,-0.01 ,-0.04 ,-0.11 ,-0.04 
6/20,-0.07 ,0.01 ,-0.05 ,-0.04 ,0.01 ,0.00 ,0.00 ,0.00 ,-0.03 ,0.00 ,-0.04 ,-0.01 ,-0.05 ,-0.09 ,-0.11 ,-0.19 ,0.00 ,0.00 ,0.01 ,-0.05 ,-0.11 ,0.02 ,-0.05 ,-0.08 ,-0.02 
6/27,-0.03 ,0.00 ,-0.04 ,-0.01 ,-0.05 ,-0.09 ,-0.04 ,-0.03 ,-0.02 ,0.00 ,-0.03 ,0.00 ,-0.05 ,-0.01 ,-0.08 ,-0.14 ,-0.02 ,-0.10 ,-0.01 ,-0.05 ,-0.07 ,-0.03 ,-0.04 ,-0.02 ,0.00 
7/4,-0.01 ,0.00 ,-0.03 ,-0.02 ,-0.01 ,-0.03 ,0.00 ,-0.01 ,0.00 ,0.00 ,-0.04 ,-0.03 ,0.00 ,-0.01 ,-0.05 ,-0.17 ,-0.06 ,0.01 ,-0.04 ,0.00 ,-0.03 ,-0.01 ,-0.06 ,-0.01 ,0.00 
7/11,0.00 ,-0.04 ,-0.03 ,-0.04 ,-0.01 ,-0.08 ,-0.03 ,0.00 ,-0.03 ,-0.02 ,0.03 ,-0.05 ,0.00 ,0.04 ,-0.01 ,-0.15 ,-0.08 ,-0.13 ,-0.03 ,-0.13 ,-0.09 ,-0.01 ,-0.03 ,-0.14 ,0.00 
7/18,0.00 ,-0.01 ,-0.12 ,0.00 ,-0.01 ,-0.02 ,0.00 ,-0.16 ,-0.01 ,0.01 ,-0.07 ,0.00 ,-0.03 ,0.00 ,-0.05 ,-0.08 ,-0.10 ,-0.01 ,-0.03 ,-0.10 ,0.00 ,-0.01 ,-0.07 ,-0.07 ,-0.03 
